k: 10, topk: 5, train_ratio: 0.7, precision: 0.46820000000000006, recall: 0.28285567730876976, accuracy: 0.994
k: 10, topk: 5, train_ratio: 0.8, precision: 0.42500000000000004, recall: 0.3208857618720147, accuracy: 0.987
k: 10, topk: 5, train_ratio: 0.9, precision: 0.33460000000000006, recall: 0.39779826898928644, accuracy: 0.95
k: 10, topk: 7, train_ratio: 0.7, precision: 0.38885714285714285, recall: 0.3051300160947943, accuracy: 0.994
k: 10, topk: 7, train_ratio: 0.8, precision: 0.344, recall: 0.3448741325783454, accuracy: 0.987
k: 10, topk: 7, train_ratio: 0.9, precision: 0.26642857142857135, recall: 0.42676892091051105, accuracy: 0.95
k: 10, topk: 10, train_ratio: 0.7, precision: 0.31829999999999997, recall: 0.3329802418032649, accuracy: 0.994
k: 10, topk: 10, train_ratio: 0.8, precision: 0.2775, recall: 0.37400949760183355, accuracy: 0.987
k: 10, topk: 10, train_ratio: 0.9, precision: 0.20820000000000005, recall: 0.4577919279073842, accuracy: 0.95
k: 15, topk: 5, train_ratio: 0.7, precision: 0.452, recall: 0.2773094619306228, accuracy: 0.987
k: 15, topk: 5, train_ratio: 0.8, precision: 0.41000000000000003, recall: 0.31377007602264734, accuracy: 0.984
k: 15, topk: 5, train_ratio: 0.9, precision: 0.3206, recall: 0.3872539116618409, accuracy: 0.933
k: 15, topk: 7, train_ratio: 0.7, precision: 0.3732857142857143, recall: 0.2971051950489829, accuracy: 0.987
k: 15, topk: 7, train_ratio: 0.8, precision: 0.33699999999999997, recall: 0.3393472541422198, accuracy: 0.984
k: 15, topk: 7, train_ratio: 0.9, precision: 0.258, recall: 0.4148067659721798, accuracy: 0.933
k: 15, topk: 10, train_ratio: 0.7, precision: 0.3065, recall: 0.3248653813945084, accuracy: 0.987
k: 15, topk: 10, train_ratio: 0.8, precision: 0.2724, recall: 0.36833677534792475, accuracy: 0.984
k: 15, topk: 10, train_ratio: 0.9, precision: 0.20170000000000002, recall: 0.4443017210676647, accuracy: 0.933
k: 20, topk: 5, train_ratio: 0.7, precision: 0.43760000000000004, recall: 0.27207313214683515, accuracy: 0.985
k: 20, topk: 5, train_ratio: 0.8, precision: 0.3996, recall: 0.30863031039633726, accuracy: 0.974
k: 20, topk: 5, train_ratio: 0.9, precision: 0.30660000000000004, recall: 0.37621187967422065, accuracy: 0.923
k: 20, topk: 7, train_ratio: 0.7, precision: 0.36199999999999993, recall: 0.292199450383688, accuracy: 0.985
k: 20, topk: 7, train_ratio: 0.8, precision: 0.325, recall: 0.33145328560893367, accuracy: 0.974
k: 20, topk: 7, train_ratio: 0.9, precision: 0.24699999999999994, recall: 0.4032275601504816, accuracy: 0.923
k: 20, topk: 10, train_ratio: 0.7, precision: 0.2975, recall: 0.31901175563541495, accuracy: 0.985
k: 20, topk: 10, train_ratio: 0.8, precision: 0.26239999999999997, recall: 0.3604738885582074, accuracy: 0.974
k: 20, topk: 10, train_ratio: 0.9, precision: 0.19560000000000002, recall: 0.4349273687258201, accuracy: 0.923
k: 25, topk: 5, train_ratio: 0.7, precision: 0.4212, recall: 0.26649763881451155, accuracy: 0.982
k: 25, topk: 5, train_ratio: 0.8, precision: 0.3826, recall: 0.3012654976548818, accuracy: 0.968
k: 25, topk: 5, train_ratio: 0.9, precision: 0.29780000000000006, recall: 0.36827599037260383, accuracy: 0.903
k: 25, topk: 7, train_ratio: 0.7, precision: 0.3507142857142857, recall: 0.28794091776535946, accuracy: 0.982
k: 25, topk: 7, train_ratio: 0.8, precision: 0.3142857142857142, recall: 0.3257242407303636, accuracy: 0.968
k: 25, topk: 7, train_ratio: 0.9, precision: 0.23957142857142852, recall: 0.3942218061822277, accuracy: 0.903
k: 25, topk: 10, train_ratio: 0.7, precision: 0.2912, recall: 0.3155346882067537, accuracy: 0.982
k: 25, topk: 10, train_ratio: 0.8, precision: 0.2536, recall: 0.3531467690485879, accuracy: 0.968
k: 25, topk: 10, train_ratio: 0.9, precision: 0.19170000000000004, recall: 0.42890499125889925, accuracy: 0.903
k: 30, topk: 5, train_ratio: 0.7, precision: 0.4156, recall: 0.2634437836165971, accuracy: 0.977
k: 30, topk: 5, train_ratio: 0.8, precision: 0.3744, recall: 0.2972147537299334, accuracy: 0.966
k: 30, topk: 5, train_ratio: 0.9, precision: 0.28740000000000004, recall: 0.3590096739705676, accuracy: 0.89
k: 30, topk: 7, train_ratio: 0.7, precision: 0.3454285714285714, recall: 0.2849683446850786, accuracy: 0.977
k: 30, topk: 7, train_ratio: 0.8, precision: 0.30599999999999994, recall: 0.32070211245931746, accuracy: 0.966
k: 30, topk: 7, train_ratio: 0.9, precision: 0.23199999999999996, recall: 0.38440058612600764, accuracy: 0.89
k: 30, topk: 10, train_ratio: 0.7, precision: 0.2837, recall: 0.3094058519796648, accuracy: 0.977
k: 30, topk: 10, train_ratio: 0.8, precision: 0.24650000000000002, recall: 0.34655204087402686, accuracy: 0.966
k: 30, topk: 10, train_ratio: 0.9, precision: 0.185, recall: 0.4180694370040725, accuracy: 0.89
